,DateValue,Num_Pes_Designate,PesAdmitted
995,9/22/2020,7,2
996,9/23/2020,14,3
997,9/24/2020,17,2
998,9/25/2020,12,4
999,9/26/2020,12,0
1000,9/27/2020,9,2
1001,9/28/2020,13,2
1002,9/29/2020,12,3
1003,9/30/2020,17,5
1004,10/1/2020,19,4
1005,10/2/2020,10,2
1006,10/3/2020,12,2
1007,10/4/2020,11,2
1008,10/5/2020,20,5
1009,10/6/2020,11,3
1010,10/7/2020,16,1
1011,10/8/2020,13,2
1012,10/9/2020,17,2
1013,10/10/2020,11,2
1014,10/11/2020,12,4
1015,10/12/2020,12,4
1016,10/13/2020,11,1
1017,10/14/2020,12,3
1018,10/15/2020,16,4
1019,10/16/2020,14,3
1020,10/17/2020,10,2
1021,10/18/2020,12,3
1022,10/19/2020,9,1
1023,10/20/2020,13,4
1024,10/21/2020,19,5
1025,10/22/2020,17,6
1026,10/23/2020,14,0
1027,10/24/2020,13,0
1028,10/25/2020,12,3
1029,10/26/2020,8,1
1030,10/27/2020,16,3
1031,10/28/2020,16,0
1032,10/29/2020,13,1
1033,10/30/2020,12,4
1034,10/31/2020,10,3
1035,11/1/2020,11,1
1036,11/2/2020,16,2
1037,11/3/2020,11,2
1038,11/4/2020,19,2
1039,11/5/2020,11,4
1040,11/6/2020,17,4
1041,11/7/2020,16,5
1042,11/8/2020,9,2
1043,11/9/2020,14,4
1044,11/10/2020,21,4
1045,11/11/2020,22,4
1046,11/12/2020,18,3
1047,11/13/2020,12,2
1048,11/14/2020,12,3
1049,11/15/2020,18,2
1050,11/16/2020,9,2
1051,11/17/2020,22,2
1052,11/18/2020,11,2
1053,11/19/2020,13,4
1054,11/20/2020,12,5
1055,11/21/2020,15,2
1056,11/22/2020,13,2
1057,11/23/2020,15,4
1058,11/24/2020,21,8
1059,11/25/2020,9,2
